"KIND","SKYNO","TOSKY","SKYSTAR","TOFLO","FLOSTAR","unique_id"
"日","子",NULL,NULL,"子","將星",1
"日","子",NULL,NULL,"丑","",2
"日","子",NULL,NULL,"寅","驛馬,孤辰",3
"日","子",NULL,NULL,"卯","紅鸞",4
"日","子",NULL,NULL,"辰","華蓋",5
"日","子",NULL,NULL,"巳","刧煞",6
"日","子",NULL,NULL,"午","災煞",7
"日","子",NULL,NULL,"未","",8
"日","子",NULL,NULL,"申","",9
"日","子",NULL,NULL,"酉","桃花,天喜",10
"日","子",NULL,NULL,"亥","亡神",12
"日","丑",NULL,NULL,"子","",13
"日","丑",NULL,NULL,"丑","華蓋",14
"日","丑",NULL,NULL,"寅","刧煞,孤辰,紅鸞",15
"日","丑",NULL,NULL,"卯","災煞",16
"日","丑",NULL,NULL,"辰","",17
"日","丑",NULL,NULL,"巳","",18
"日","丑",NULL,NULL,"午","桃花",19
"日","丑",NULL,NULL,"未","",20
"日","丑",NULL,NULL,"申","亡神,天喜",21
"日","丑",NULL,NULL,"酉","將星",22
"日","丑",NULL,NULL,"亥","驛馬",24
"日","寅",NULL,NULL,"子","災煞",25
"日","寅",NULL,NULL,"丑","寡宿,紅鸞",26
"日","寅",NULL,NULL,"寅","",27
"日","寅",NULL,NULL,"卯","桃花",28
"日","寅",NULL,NULL,"辰","",29
"日","寅",NULL,NULL,"巳","亡神,孤辰",30
"日","寅",NULL,NULL,"午","將星",31
"日","寅",NULL,NULL,"未","天喜",32
"日","寅",NULL,NULL,"申","驛馬",33
"日","寅",NULL,NULL,"酉","",34
"日","寅",NULL,NULL,"亥","刧煞",36
"日","卯",NULL,NULL,"子","桃花,紅鸞",37
"日","卯",NULL,NULL,"丑","寡宿",38
"日","卯",NULL,NULL,"寅","亡神",39
"日","卯",NULL,NULL,"卯","將星",40
"日","卯",NULL,NULL,"辰","",41
"日","卯",NULL,NULL,"巳","驛馬,孤辰",42
"日","卯",NULL,NULL,"午","天喜",43
"日","卯",NULL,NULL,"未","華蓋",44
"日","卯",NULL,NULL,"申","刧煞",45
"日","卯",NULL,NULL,"酉","災煞",46
"日","卯",NULL,NULL,"亥","",48
"日","辰",NULL,NULL,"子","將星",49
"日","辰",NULL,NULL,"丑","寡宿",50
"日","辰",NULL,NULL,"寅","驛馬",51
"日","辰",NULL,NULL,"卯","",52
"日","辰",NULL,NULL,"辰","華蓋",53
"日","辰",NULL,NULL,"巳","刧煞,孤辰,天喜",54
"日","辰",NULL,NULL,"午","災煞",55
"日","辰",NULL,NULL,"未","",56
"日","辰",NULL,NULL,"申","",57
"日","辰",NULL,NULL,"酉","桃花",58
"日","辰",NULL,NULL,"亥","亡神,紅鸞",60
"日","巳",NULL,NULL,"子","",61
"日","巳",NULL,NULL,"丑","華蓋",62
"日","巳",NULL,NULL,"寅","刧煞",63
"日","巳",NULL,NULL,"卯","災煞",64
"日","巳",NULL,NULL,"辰","寡宿,天喜",65
"日","巳",NULL,NULL,"巳","",66
"日","巳",NULL,NULL,"午","桃花",67
"日","巳",NULL,NULL,"未","",68
"日","巳",NULL,NULL,"申","亡神,孤辰",69
"日","巳",NULL,NULL,"酉","將星",70
"日","巳",NULL,NULL,"亥","驛馬",72
"日","午",NULL,NULL,"子","災煞",73
"日","午",NULL,NULL,"丑","",74
"日","午",NULL,NULL,"寅","",75
"日","午",NULL,NULL,"卯","桃花,天喜",76
"日","午",NULL,NULL,"辰","寡宿",77
"日","午",NULL,NULL,"巳","亡神",78
"日","午",NULL,NULL,"午","將星",79
"日","午",NULL,NULL,"未","",80
"日","午",NULL,NULL,"申","驛馬,孤辰",81
"日","午",NULL,NULL,"酉","紅鸞",82
"日","午",NULL,NULL,"亥","刧煞",84
"日","未",NULL,NULL,"子","桃花",85
"日","未",NULL,NULL,"丑","",86
"日","未",NULL,NULL,"寅","亡神,天喜",87
"日","未",NULL,NULL,"卯","將星",88
"日","未",NULL,NULL,"辰","寡宿",89
"日","未",NULL,NULL,"巳","驛馬",90
"日","未",NULL,NULL,"午","",91
"日","未",NULL,NULL,"未","華蓋",92
"日","未",NULL,NULL,"申","刧煞,孤辰,紅鸞",93
"日","未",NULL,NULL,"酉","災煞",94
"日","未",NULL,NULL,"亥","",96
"日","申",NULL,NULL,"子","將星",97
"日","申",NULL,NULL,"丑","天喜",98
"日","申",NULL,NULL,"寅","驛馬",99
"日","申",NULL,NULL,"卯","",100
"日","申",NULL,NULL,"辰","華蓋",101
"日","申",NULL,NULL,"巳","刧煞",102
"日","申",NULL,NULL,"午","災煞",103
"日","申",NULL,NULL,"未","寡宿,紅鸞",104
"日","申",NULL,NULL,"申","",105
"日","申",NULL,NULL,"酉","桃花",106
"日","申",NULL,NULL,"亥","亡神,孤辰",108
"日","酉",NULL,NULL,"子","天喜",109
"日","酉",NULL,NULL,"丑","華蓋",110
"日","酉",NULL,NULL,"寅","刧煞",111
"日","酉",NULL,NULL,"卯","災煞",112
"日","酉",NULL,NULL,"辰","",113
"日","酉",NULL,NULL,"巳","",114
"日","酉",NULL,NULL,"午","桃花,紅鸞",115
"日","酉",NULL,NULL,"未","寡宿",116
"日","酉",NULL,NULL,"申","亡神",117
"日","酉",NULL,NULL,"酉","將星",118
"日","酉",NULL,NULL,"亥","驛馬,孤辰",120
"日","戌",NULL,NULL,"丑","",122
"日","子",NULL,NULL,"戌","寡宿",11
"日","丑",NULL,NULL,"戌","寡宿",23
"日","亥",NULL,NULL,"子","桃花",133
"日","亥",NULL,NULL,"丑","",134
"日","亥",NULL,NULL,"寅","亡神,孤辰",135
"日","亥",NULL,NULL,"卯","將星",136
"日","亥",NULL,NULL,"辰","紅鸞",137
"日","亥",NULL,NULL,"巳","驛馬",138
"日","亥",NULL,NULL,"午","",139
"日","亥",NULL,NULL,"未","華蓋",140
"日","亥",NULL,NULL,"申","刧煞",141
"日","亥",NULL,NULL,"酉","災煞",142
"日","亥",NULL,NULL,"亥","",144
"月","子",NULL,NULL,"子","將星",145
"月","子",NULL,NULL,"丑","",146
"月","子",NULL,NULL,"寅","驛馬,孤辰",147
"月","子",NULL,NULL,"卯","紅鸞",148
