"KIND","SKYNO","TOSKY","SKYSTAR","TOFLO","FLOSTAR","unique_id"
"日","甲",NULL,NULL,"子","學士",1
"日","甲",NULL,NULL,"丑","乙貴,血刃",2
"日","甲",NULL,NULL,"寅","干祿",3
"日","甲",NULL,NULL,"卯","羊刃,桃花",4
"日","甲",NULL,NULL,"辰","",5
"日","甲",NULL,NULL,"巳","文昌",6
"日","甲",NULL,NULL,"午","紅艷",7
"日","甲",NULL,NULL,"未","乙貴",8
"日","甲",NULL,NULL,"申","路空",9
"日","甲",NULL,NULL,"酉","飛刃",10
"日","甲",NULL,NULL,"亥","桃花",12
"日","乙",NULL,NULL,"子","乙貴",13
"日","乙",NULL,NULL,"丑","",14
"日","乙",NULL,NULL,"寅","血刃",15
"日","乙",NULL,NULL,"卯","干祿,桃花",16
"日","乙",NULL,NULL,"辰","羊刃",17
"日","乙",NULL,NULL,"巳","",18
"日","乙",NULL,NULL,"午","紅艷",19
"日","乙",NULL,NULL,"未","",20
"日","乙",NULL,NULL,"申","乙貴",21
"日","乙",NULL,NULL,"酉","",22
"日","乙",NULL,NULL,"亥","學士,桃花",24
"日","丙",NULL,NULL,"子","飛刃,桃花",25
"日","丙",NULL,NULL,"丑","",26
"日","丙",NULL,NULL,"寅","紅艷",27
"日","丙",NULL,NULL,"卯","學士",28
"日","丙",NULL,NULL,"辰","血刃",29
"日","丙",NULL,NULL,"巳","干祿",30
"日","丙",NULL,NULL,"午","羊刃",31
"日","丙",NULL,NULL,"未","",32
"日","丙",NULL,NULL,"申","文昌,桃花",33
"日","丙",NULL,NULL,"酉","乙貴",34
"日","丙",NULL,NULL,"亥","乙貴",36
"日","丁",NULL,NULL,"子","桃花",37
"日","丁",NULL,NULL,"丑","",38
"日","丁",NULL,NULL,"寅","學士",39
"日","丁",NULL,NULL,"卯","",40
"日","丁",NULL,NULL,"辰","",41
"日","丁",NULL,NULL,"巳","血刃",42
"日","丁",NULL,NULL,"午","干祿",43
"日","丁",NULL,NULL,"未","紅艷,羊刃",44
"日","丁",NULL,NULL,"申","桃花",45
"日","丁",NULL,NULL,"酉","乙貴,文昌",46
"日","丁",NULL,NULL,"亥","乙貴",48
"日","戊",NULL,NULL,"子","飛刃",49
"日","戊",NULL,NULL,"丑","乙貴",50
"日","戊",NULL,NULL,"寅","",51
"日","戊",NULL,NULL,"卯","桃花",52
"日","戊",NULL,NULL,"辰","紅艷,血刃",53
"日","戊",NULL,NULL,"巳","干祿",54
"日","戊",NULL,NULL,"午","羊刃,學士",55
"日","戊",NULL,NULL,"未","乙貴",56
"日","戊",NULL,NULL,"申","文昌",57
"日","戊",NULL,NULL,"酉","",58
"日","戊",NULL,NULL,"亥","",60
"日","己",NULL,NULL,"子","乙貴",61
"日","己",NULL,NULL,"丑","飛刃",62
"日","己",NULL,NULL,"寅","",63
"日","己",NULL,NULL,"卯","",64
"日","己",NULL,NULL,"辰","紅艷",65
"日","己",NULL,NULL,"巳","學士,血刃",66
"日","己",NULL,NULL,"午","干祿",67
"日","己",NULL,NULL,"未","羊刃",68
"日","己",NULL,NULL,"申","乙貴",69
"日","己",NULL,NULL,"酉","文昌",70
"日","己",NULL,NULL,"亥","",72
"日","庚",NULL,NULL,"子","",73
"日","庚",NULL,NULL,"丑","乙貴",74
"日","庚",NULL,NULL,"寅","",75
"日","庚",NULL,NULL,"卯","飛刃",76
"日","庚",NULL,NULL,"辰","",77
"日","庚",NULL,NULL,"巳","桃花",78
"日","庚",NULL,NULL,"午","學士",79
"日","庚",NULL,NULL,"未","乙貴,血刃",80
"日","庚",NULL,NULL,"申","干祿",81
"日","庚",NULL,NULL,"酉","羊刃",82
"日","庚",NULL,NULL,"亥","文昌,桃花",84
"日","辛",NULL,NULL,"子","文昌",85
"日","辛",NULL,NULL,"丑","",86
"日","辛",NULL,NULL,"寅","乙貴",87
"日","辛",NULL,NULL,"卯","",88
"日","辛",NULL,NULL,"辰","飛刃",89
"日","辛",NULL,NULL,"巳","學士",90
