"id","s1","s2","s3","s4","s5","s6","s7"
"1","甲子","庚午","甲子","己丑","甲申","己巳","甲子"
"2","乙丑","辛未","甲子","庚子","甲午","",""
"3","丙寅","壬申","甲子","辛亥","甲辰","",""
"4","丁卯","癸酉","甲子","壬戌","甲寅","壬申","甲子"
"5","戊辰","","","癸酉","甲子","",""
"6","己巳","","","甲申","甲申","甲子","甲子"
"7","庚午","甲子","甲子","乙未","甲午","乙亥","甲戌"
"8","辛未","乙丑","甲子","丙午","甲辰","",""
"9","壬申","丙寅","甲子","丁巳","甲寅","丁卯","甲子"
"10","癸酉","丁卯","甲子","戊辰","甲子","",""
"11","甲戌","庚辰","甲戌","己卯","甲戌","",""
"12","乙亥","辛巳","甲戌","庚寅","甲申","庚午","甲子"
"13","丙子","壬午","甲戌","辛丑","甲午","辛巳","甲戌"
"14","丁丑","癸未","甲戌","壬子","甲辰","",""
"15","戊寅","","","癸亥","甲寅","",""
"16","己卯","","","甲戌","甲戌","甲申","甲申"
"17","庚辰","甲戌","甲戌","乙酉","甲申","",""
"18","辛巳","乙亥","甲戌","丙申","甲午","丙子","甲戌"
"19","壬午","丙子","甲戌","丁未","甲辰","丁亥","甲申"
"20","癸未","丁丑","甲戌","戊午","甲寅","",""
"21","甲申","庚寅","甲申","己巳","甲子","己卯","甲戌"
"22","乙酉","辛卯","甲申","庚辰","甲戌","",""
"23","丙戌","壬辰","甲申","辛卯","甲申","",""
"24","丁亥","癸巳","甲申","壬寅","甲午","壬午","甲戌"
"25","戊子","","","癸丑","甲辰","癸巳","甲申"
"26","己丑","","","甲子","甲子","",""
"27","庚寅","甲申","甲申","乙亥","甲戌","",""
"28","辛卯","乙酉","甲申","丙戌","甲申","丙申","甲午"
"29","壬辰","丙戌","甲申","丁酉","甲午","",""
"30","癸巳","丁亥","甲申","戊申","甲辰","戊子","甲申"
"31","甲午","庚子","甲午","己未","甲寅","己亥","甲午"
"32","乙未","辛丑","甲午","庚午","甲子","",""
"33","丙申","壬寅","甲午","辛巳","甲戌","辛卯","甲申"
"34","丁酉","癸卯","甲午","壬辰","甲申","",""
"35","戊戌","","","癸卯","甲午","",""
"36","己亥","","","甲寅","甲寅","甲午","甲午"
"37","庚子","甲午","甲午","乙丑","甲子","乙巳","甲辰"
"38","辛丑","乙未","甲午","丙子","甲戌","",""
"39","壬寅","丙申","甲午","丁亥","甲申","",""
"40","癸卯","丁酉","甲午","戊戌","甲午","戊申","甲辰"
"41","甲辰","庚戌","甲辰","己酉","甲辰","",""
"42","乙巳","辛亥","甲辰","庚申","甲寅","庚子","甲午"
"43","丙午","壬子","甲辰","辛未","甲子","辛亥","甲辰"
"44","丁未","癸丑","甲辰","壬午","甲戌","",""
"45","戊申","","","癸巳","甲申","癸卯","甲午"
"46","己酉","","","甲辰","甲辰","",""
"47","庚戌","甲辰","甲辰","乙卯","甲寅","",""
"48","辛亥","乙巳","甲辰","丙寅","甲子","丙午","甲辰"
"49","壬子","丙午","甲辰","丁丑","甲戌","丁巳","甲寅"
"50","癸丑","丁未","甲辰","戊子","甲申","",""
"51","甲寅","庚申","甲寅","己亥","甲午","",""
"52","乙卯","辛酉","甲寅","庚戌","甲辰","庚申","甲寅"
"53","丙辰","壬戌","甲寅","辛酉","甲寅","",""
"54","丁巳","癸亥","甲寅","壬申","甲子","壬子","甲辰"
"55","戊午","","","癸未","甲戌","癸亥","甲寅"
"56","己未","","","甲午","甲午","",""
"57","庚申","甲寅","甲寅","乙巳","甲辰","乙卯","甲寅"
"58","辛酉","乙卯","甲寅","丙辰","甲寅","",""
"59","壬戌","丙辰","甲寅","丁卯","甲子","",""
"60","癸亥","丁巳","甲寅","戊寅","甲戌","戊午","甲寅"
